Speaker,File,Word,Consonant,VOT
ferfulice_1,20325,piggies,p,0.06253651916308206
ferfulice_1,20325,pasta,p,0.097232220417300258
ferfulice_1,20709,peepee,p,0.026417419036514761
ferfulice_1,20325,be,b,0.021525119931237346
ferfulice_1,20325,bear,b,0.029778510993662355
ferfulice_1,20709,birthday,b,0.020663356969563583
ferfulice_1,20325,dance,d,0.024172918401961601
ferfulice_1,20325,down,d,0.026823755277745401
ferfulice_1,20709,devon,d,0.017079987931559681
ferfulice_1,20700,talking,t,0.042050274218422556
ferfulice_1,20700,taking,t,0.022517330167793115
ferfulice_1,20700,tower,t,0.031648138933121031
ferfulice_1,20325,gee,g,0.033585830460755195
ferfulice_1,20709,go,g,0.025827170967199997
ferfulice_1,20709,gone,g,0.037244640990170191
ferfulice_1,20325,cow,k,0.08224273991754627
ferfulice_1,20712,coffee,k,0.031815854075829042
ferfulice_1,20712,come,k,0.035526903469174698
ferfulice_2,20325,piggies,p,0.043688164816010074
ferfulice_2,20709,puff,p,0.038583233783868964
ferfulice_2,20325,pooh,p,0.17381413025911824
ferfulice_2,20709,by,b,0.010926328812194484
ferfulice_2,20709,baba,b,0.01852342902017156
ferfulice_2,20709,bad,b,0.019356907479052762
ferfulice_2,20325,dance,d,0.028229379848607405
ferfulice_2,20325,dock,d,0.011426966599178079
ferfulice_2,20709,different,d,0.022551146874479011
ferfulice_2,20325,ten,t,0.062339365851077855
ferfulice_2,20325,two,t,0.041955040663515963
ferfulice_2,20325,tummy,t,0.042745085424641671
ferfulice_2,20709,go ,g,0.019947721584351749
ferfulice_2,20325,give,g,0.025331817773419973
ferfulice_2,20325,gun,g,0.029408793906884098
ferfulice_2,20325,carrots,k,0.022391541542748916
ferfulice_2,20709,can,k,0.053981939496475798
ferfulice_2,20709,kitchen,k,0.046981457237186941
deuchar,20502,put,p,
deuchar,20621,puzzle,p,
deuchar,20621,pussycat,p,
deuchar,20103,bath,b,
deuchar,20103,better,b,
deuchar,20502,bed,b,
deuchar,20103,done,d,
deuchar,20103,do,d,
deuchar,20103,dog,d,
deuchar,20103,tea,t,
deuchar,20103,take,t,
deuchar,20502,touching,t,
deuchar,20103,got ,g,
deuchar,20103,go,g,
deuchar,20502,girl,g,
deuchar,20103,come,k,
deuchar,20103,key,k,
deuchar,20103,can,k,
