Speaker,File,Word,Consonant,VOT
ferfulice_1,20325,buto,b,-0.047222642710249008
ferfulice_1,25000,bueno,b,-0.05111552254279686
ferfulice_1,20512,baba,b,-0.0160770438067643
ferfulice_1,20325,pato,p,0.0087770084751583877
ferfulice_1,20325,peces,p,0.022397957002393998
ferfulice_1,20325,pipi,p,0.016138803389341858
ferfulice_1,20325,dos,d,0.0063798860588723111
ferfulice_1,20325,dormir,d,-0.037113381394843548
ferfulice_1,20512,de,d,-0.016731420545104
ferfulice_1,20325,tienda,t,0.02346928267504178
ferfulice_1,20325,toma,t,0.038448693668234613
ferfulice_1,20512,todo,t,0.02214809473066226
ferfulice_1,TODO,TODO,g,
ferfulice_1,TODO,TODO,g,
ferfulice_1,TODO,TODO,g,
ferfulice_1,20325,conmito,k,0.083153182715299812
ferfulice_1,20325,con,k,0.031155282711122528
ferfulice_1,20325,casa,k,0.034487040477336403
ferfulice_2,25000,bolsa,b,0.0094598260980443549
ferfulice_2,21119,barrio,b,0.0118837951803919
ferfulice_2,21119,bien,b,-0.055213227606804902
ferfulice_2,20325,papu,p,0.01337309673214726
ferfulice_2,20325,peces,p,0.0093081365445251141
ferfulice_2,20409,pato,p,0.009599375907191815
ferfulice_2,20512,dos,d,-0.013264969283801387
ferfulice_2,20512,donde,d,-0.0099704051492258694
ferfulice_2,21105,de,d,-0.055191052069385071
ferfulice_2,20325,toma,t,0.02074885405582616
ferfulice_2,21119,todos,t,0.016499081583122632
ferfulice_2,21119,tejas,t,0.021759287836275454
ferfulice_2,20325,gato,g,0.017585526284270458
ferfulice_2,25000,gorro,g,0.047001499816154549
ferfulice_2,25000,gafas,g,-0.059164476555396001
ferfulice_2,20325,cana,k,0.081643079380257277
ferfulice_2,20325,corren,k,0.0186609818632965,sus
ferfulice_2,20325,cantan,k,0.022168247889575297,
deuchar,20025,bolas,b,0.01283355232071548,
deuchar,20025,ballena,b,0.029704233745444675,
deuchar,20602,bebe,b,0.031320070443975702,
deuchar,20025,piedras,p,0.070271142138309595,
deuchar,20025,para,p,0.041622175346447403,
deuchar,20025,papel,p,0.014323724412824174,
deuchar,20025,donde,d,0.016526392345531882,
deuchar,20602,dinero,d,0.020384771999999999,
deuchar,20602,dos,d,0.017745352200327108,
deuchar,20025,tortuga,t,0.016079282867237324,
deuchar,20025,tomate,t,0.018773055264387994,
deuchar,20505,tienes,t,0.015509096178590032,
deuchar,20025,gato,g,0.028500117199325048,
deuchar,,,g,,
deuchar,,,g,,
deuchar,20025,quita,k,0.031808240100832885,
deuchar,20025,cama,k,0.077306407321453885,
deuchar,20025,cubo,k,0.063297991978480211,
